aAvg,aMax,aMin,aP2P,aStd,gAvg,gMax,gMin,gP2P,gStd,label
0.97630770445,5.61269200364,0.0145545493758,5.59813745426,1.27311220706,132.207086791,365.513520832,4.36299972514,361.150521107,120.255395262,1
1.26441929591,3.95244529972,0.0376055820583,3.91483971766,0.948675249694,167.414149337,395.105795915,2.91148512026,392.194310795,161.511545411,1
0.962228246637,3.45689890118,0.0522774575472,3.40462144363,0.751169773338,87.3985617721,368.153679147,6.15582366861,361.997855479,109.175620942,1
1.27152545705,9.05544247578,0.0459743440234,9.00946813175,1.9194286621,139.045124834,373.713355962,4.8393944631,368.873961499,140.725356443,1
1.6939229883,13.8559835966,0.0563457310181,13.7996378656,2.88153038813,125.772649817,443.405006738,4.87796634511,438.527040393,180.006227075,1
1.8381626501,12.9670078119,0.0319945334295,12.9350132784,3.21009012039,115.674277174,363.757507792,3.7020535106,360.055454281,136.706377994,1
1.62031263179,10.2038320264,0.0364620570143,10.1673699694,2.92150742115,247.001377878,385.199619928,5.49667535347,379.702944574,152.800187712,1
0.76936282865,1.76905364945,0.0448003036097,1.72425334584,0.545647381862,178.32230149,443.395985686,5.52202841821,437.873957267,178.53626384,1
0.762230581388,1.14374004526,0.0407590561615,1.1029809891,0.398304481978,80.1551510702,244.179392547,7.17351730924,237.005875238,80.1723254464,1
0.824467550532,2.46643138603,0.0270489743728,2.43938241166,0.648303568475,130.409515065,438.569934588,5.7386415497,432.831293038,143.531275618,1
1.00798243157,1.05238715906,0.969870165807,0.0825169932495,0.0250660763443,6.95987364484,9.55089228591,4.65507666634,4.89581561957,1.17710745107,0
0.991028748875,1.19666097037,0.767466024896,0.429194945475,0.127117683409,26.5712880214,37.1237315979,17.0093124913,20.1144191066,5.19223400862,0
1.00914815352,1.05499709495,0.924335945032,0.130661149919,0.0299827958247,14.9250387278,25.6198201224,7.38884921848,18.2309709039,4.45711362225,0
1.00291347139,1.11724661291,0.889100124589,0.228146488317,0.0530545771714,13.6455912653,22.4882320571,5.31951512931,17.1687169278,4.18950184978,0
1.00436596344,1.09844016866,0.905844268739,0.192595899918,0.0475431795455,23.5039867268,44.9354748435,15.3132672799,29.6222075637,7.67659870584,0
1.01353975664,1.16025188322,0.816369160809,0.343882722407,0.0706138150192,134.332202214,321.44751241,19.3060770063,302.141435404,75.8201426682,0
0.801404599344,1.29426313995,0.0335797657803,1.26068337417,0.395366216208,53.3509213688,261.02684298,5.1046542603,255.92218872,65.3314091364,1
1.01245240089,1.19531531739,0.876090426152,0.319224891235,0.0669739805123,75.0962477129,219.895313533,14.2197329674,205.675580565,60.2253021982,0
1.01540456729,1.4338995584,0.739794477133,0.694105081264,0.161565239929,32.0343549958,66.1205508605,14.8293207006,51.2912301599,14.3390728249,0
1.00480729068,1.49398986455,0.626063919518,0.867925945029,0.227237649812,42.8922793598,81.7240535146,11.7451005826,69.978952932,14.6523516005,0
0.998812118016,1.08128433063,0.952650202075,0.128634128553,0.0330970364381,34.46913226,91.5714812681,9.63045198673,81.9410292814,23.79285919,0
