index,ax,ay,az,gx,gy,gz
1,-0.96142578125,0.2158203125,-0.0810546875,36.4921875,33.40625,15.9140625
2,-1.00244140625,0.220703125,-0.152587890625,35.4921875,31.6015625,21.4453125
3,-0.989013671875,0.218505859375,-0.107666015625,49.46875,6.5390625,35.7578125
4,,25.0078125,35.96875,3.5859375
5,-0.8779296875,0.23828125,-0.337646484375-0.682373046875,0.3427734375,-0.517578125,35.546875,15.3828125,114.7578125
6,-0.908447265625,0.45556640625,-0.35498046875,19.9453125,-18.0546875,109.40625
7,-0.735107421875,0.637939453125,-0.33349609375,29.7421875,-12.078125,80.8203125
8,-0.740234375,0.50390625,-0.375732421875,27.4453125,-11.796875,5.53125
9,-0.66748046875,0.578857421875,-0.37744140625,27.15625,-12.4609375,-6.2265625
10,-0.7119140625,0.546875,-0.4365234375,39.1640625,-15.9609375,-16.328125
11,-0.714111328125,0.529296875,-0.427734375,32.8828125,-11.265625,-7.9921875
12,-0.7490234375,0.56103515625,-0.39794921875,30.75,-14.59375,-2
13,-0.765625,0.522705078125,-0.414794921875,26.625,-15.4609375,-5.90625
14,-0.615234375,0.419921875,-0.439453125,38.296875,-23.0859375,2.5703125
15,-0.792724609375,0.321533203125,-0.502197265625,31.1484375,-23.578125,-14.953125
16,-0.752685546875,0.429443359375,-0.432373046875,27.046875,-22.25,-2.109375
17,-0.826904296875,0.414306640625,-0.398681640625,30.8125,-21.46875,0.6640625
18,-0.792236328125,0.292236328125,-0.356201171875,25.640625,-22.9453125,-14.09375
19,-0.87939453125,0.16455078125,-0.387939453125,27.2734375,-20.8828125,-29.984375
20,-0.8349609375,0.078125,-0.595703125,31.453125,28.4375,-147.7578125
21,-0.92822265625,-0.07080078125,-0.52880859375,33.296875,28.921875,-56.6875
22,-0.967529296875,-0.2578125,-0.5791015625,11.0546875,-3.6015625,-14.46875
23,-0.864013671875,-0.289794921875,-0.576171875,-13.9453125,-21.234375,-38.3515625
24,-0.93408203125,-0.2119140625,-0.50830078125,-22.7890625,-20.4609375,-1.1796875
25,-0.93994140625,-0.217529296875,-0.503173828125,-17.140625,-18.0859375,8.4296875
26,-0.765625,-0.174560546875,-0.4453125,-30.5,-23.8515625,2.453125
27,-0.888671875,-0.06494140625,-0.348388671875,-37.1953125,-23.65625,-1.671875
28,-0.810791015625,-0.05078125,-0.302001953125,-44.203125,-34.25,2.640625
29,-0.954833984375,-0.041259765625,-0.191650390625,-43.0078125,-30.671875,13.5
30,-0.980224609375,0.0234375,-0.17578125,-43.421875,-0.53125,11.0703125
31,-0.80615234375,0.104736328125,-0.2294921875,-49.2265625,-3.3203125,-23.15625
32,-0.968017578125,0.20263671875,-0.178466796875,-45.8203125,4.3984375,-2.3125
33,-0.994384765625,0.23681640625,-0.20751953125,-34.0234375,22.2265625,-10.6953125
34,-0.9462890625,0.21435546875,-0.26708984375,-27.8359375,3.265625,0.015625
35,-0.94140625,0.228271484375,-0.346923828125,-23.9296875,5.7265625,2.1875
36,-0.914794921875,0.2421875,-0.366455078125,-11.859375,6.1484375,6.046875
37,-0.843505859375,0.25634765625,-0.3466796875,-6.03125,5.59375,7.3125
38,-0.87158203125,0.2822265625,-0.382568359375,0.1796875,3.8359375,6.328125
39,-0.796142578125,0.245849609375,-0.368408203125,4.28125,2.71875,5.875
40,-0.82421875,0.231689453125,-0.453369140625,4.875,2.90625,-3.140625
