index,ax,ay,az,gx,gy,gz
1,-0.07568359375,-0.197265625,-0.9931640625,4.3828125,-6.609375,9.140625
2,-0.163818359375,-0.154052734375,-0.98974609375,-32.0859375,-35.609375,26.1015625
3,-0.236572265625,-0.088623046875,-0.945556640625,-55.3984375,-29.921875,32.8515625
4,-0.223876953125,0.10009765625,-0.939697265625,-43.4296875,-17.703125,17.6953125
5,-0.252685546875,0.173828125,-0.99267578125,-40.015625,-20.2421875,13.0234375
6,-0.25830078125,0.13330078125,-0.97412109375,37.1171875,19.109375,-24.984375
7,,109.765625,2.7421875,-64.9140625
8,-0.278076171875,0.137451171875,-1.00634765625-0.2060546875,-0.112548828125,-0.908935546875,61.625,-1.3359375,-39.578125
9,-0.232666015625,-0.173828125,-1.038330078125,47.5,-0.65625,-32.46875
10,-0.218017578125,-0.233154296875,-0.914794921875,31.1328125,-1.7265625,-15.9140625
11,-0.232421875,-0.3046875,-0.92138671875,-29.8046875,-8.484375,25.59375
12,-0.251953125,-0.134033203125,-0.897216796875,-2.8515625,-0.8125,31.3125
13,-0.2666015625,-0.099365234375,-0.96484375,-39.1328125,-3.4375,16.140625
14,-0.242431640625,-0.0126953125,-0.916748046875,-37.4140625,-8.09375,18.390625
15,-0.232666015625,-0.013916015625,-1.041259765625,12.5234375,-2.921875,-7.6640625
16,-0.282958984375,-0.1123046875,-1.00439453125,39.7265625,-13.5859375,-27.6875
17,-0.264892578125,-0.0966796875,-0.88818359375,62.9765625,-0.9296875,-29.7890625
18,-0.29345703125,-0.317626953125,-0.971923828125,30.78125,6.96875,-25.6015625
19,-0.18505859375,-0.26708984375,-0.936279296875,-16.0390625,39.84375,-14.3671875
20,-0.1123046875,-0.221923828125,-1.020751953125,-32.8984375,43.8515625,1.796875
21,-0.074951171875,-0.127197265625,-1.035888671875,-52.359375,22.09375,17.2421875
22,-0.004150390625,0.0107421875,-1.023681640625,-52.640625,8.015625,18.8515625
23,0.0361328125,0.1708984375,-0.940673828125,-83.59375,-4.7890625,30.734375
24,0.013916015625,0.25244140625,-0.986083984375,-74.0859375,-28.7109375,20.8671875
25,-0.079345703125,0.42431640625,-0.893798828125,-27.421875,-10.8125,-3.6796875
26,-0.086669921875,0.463134765625,-0.8896484375,92.2890625,-18.6328125,-48.6875
27,-0.08544921875,0.22705078125,-1.00341796875,69.25,-12.0625,-40.9765625
28,-0.140380859375,0.067138671875,-1.026611328125,82.0546875,-28.1796875,-35.296875
29,-0.179443359375,-0.029296875,-1.014892578125,92.8203125,13.28125,-43.59375
30,-0.11767578125,-0.175048828125,-1.017578125,3.7890625,-14.359375,-4.3359375
31,-0.13037109375,0.009033203125,-1.043701171875,-87.984375,-15.7578125,55.5703125
32,-0.115234375,0.115234375,-0.92431640625,-16.6484375,22.8203125,36.75
33,-0.07421875,0.223388671875,-0.983154296875,-53.0078125,-28.21875,50.1640625
34,-0.112060546875,0.18994140625,-0.976318359375,-17.25,-12.109375,32.4609375
35,-0.039794921875,0.228515625,-0.96630859375,89.6015625,82.578125,-14.390625
36,0.015380859375,-0.0439453125,-1.09326171875,72.1015625,-8.4609375,-1.8671875
37,0.071044921875,-0.015869140625,-0.98583984375,5.671875,-4.7734375,-3.1796875
