index,ax,ay,az,gx,gy,gz
1,-0.726806640625,0.667236328125,0.770751953125,18.3515625,-7.265625,-15.015625
2,-0.63720703125,0.652099609375,0.694580078125,34.4921875,-3.34375,-4.2578125
3,-0.5478515625,0.584716796875,0.50732421875,32.7109375,-8,-11.7109375
4,-0.530517578125,0.464111328125,0.38818359375,27.859375,-13.828125,-27.171875
5,-0.58544921875,0.473876953125,0.4404296875,18.6484375,-22.640625,-26.046875
6,-0.579345703125,0.452880859375,0.44287109375,5.078125,-19.3984375,-28.171875
7,-0.680908203125,0.57861328125,0.58251953125,2.5078125,-29.4609375,-18.890625
8,-0.825439453125,0.597412109375,0.67919921875,15.8828125,-16.1484375,-6.8671875
9,-0.8359375,0.621826171875,0.65283203125,36.796875,-3.1328125,-0.171875
10,-0.64306640625,0.624267578125,0.608642578125,52.640625,-4.609375,-2.1875
11,-0.526611328125,0.516845703125,0.390869140625,33.640625,-2.84375,-15.6171875
12,-0.576171875,0.523193359375,0.383544921875,18.0546875,-15.71875,-23.171875
13,-0.634521484375,0.474609375,0.513671875,32.28125,-5.7734375,-24.21875
14,-0.681640625,0.569091796875,0.419677734375,10.515625,-20.171875,-14.578125
15,-0.819580078125,0.538818359375,0.53173828125,17.6015625,-27.6328125,1.2265625
16,-0.8837890625,0.752197265625,0.488037109375,18.5546875,9.1953125,-5.125
17,-0.77783203125,0.701416015625,0.392578125,30.0546875,0.2578125,1.359375
18,-0.708740234375,0.6884765625,0.462158203125,34.84375,1.796875,3.421875
19,-0.587158203125,0.62451171875,0.271240234375,25.546875,-2.234375,-9.0546875
20,-0.529052734375,0.572265625,0.23193359375,19.9375,-5.65625,-22.890625
21,-0.508544921875,0.503662109375,0.27392578125,25.875,-21.2265625,-15.3203125
22,-0.702880859375,0.601318359375,0.306640625,10.75,-17.0234375,-25.015625
23,-0.825927734375,0.535400390625,0.3203125,13.8671875,-14.3046875,-28.734375
24,-1.004150390625,0.5927734375,0.305419921875,8.8828125,-9.03125,-13.203125
25,-0.964599609375,0.68505859375,0.371826171875,17.8828125,-3.1640625,-5.0078125
26,-0.810791015625,0.697509765625,0.24951171875,25.796875,-1.40625,-13.28125
27,-0.681884765625,0.513671875,0.152587890625,29.8046875,-22.796875,-9.3671875
28,-0.580322265625,0.62109375,0.32861328125,24.7734375,-14.9296875,-18.5078125
29,-0.592529296875,0.50146484375,0.2587890625,23.9296875,-23.1328125,-23.46875
30,-0.8232421875,0.505859375,0.27197265625,6.671875,-17.6875,-27.3515625
31,-0.802734375,0.505859375,0.267578125,7.59375,-13.171875,-23.3671875
32,-0.858154296875,0.421630859375,0.318359375,7.171875,-12.6875,-27.546875
33,-1.00244140625,0.323974609375,0.346923828125,8.9609375,-5.515625,-11.4453125
34,-0.874755859375,0.42822265625,0.281005859375,1.8125,-0.2265625,1.9765625
