index,ax,ay,az,gx,gy,gz
1,-0.60400390625,0.7080078125,0.0732421875,11.0625,-0.5546875,-0.8984375
2,-0.615966796875,0.82177734375,0.116943359375,18.7578125,-11.390625,3
3,-0.589111328125,0.82421875,-0.05615234375,7.859375,-1.921875,-16.21875
4,-0.498046875,0.6806640625,-0.1630859375,-7.15625,-5.25,-41.8203125
5,-0.34033203125,0.7763671875,-0.924072265625,-50.078125,-35.9765625,-72.6796875
6,-0.068115234375,0.1025390625,-0.002685546875,-256,-256,-29.3125
7,-0.076416015625,0.091552734375,0.051513671875,-256,-256,6.34375
8,-0.04541015625,0.05322265625,-0.046630859375,-256,-256,35.671875
9,-0.149169921875,0.115234375,-0.1806640625,-256,-256,71.640625
10,-0.1591796875,0.1689453125,-0.0732421875,-256,-256,113.953125
11,-0.16943359375,0.11328125,-0.0048828125,-256,-256,164.9296875
12,0.815185546875,1.2734375,1.0986328125,-256,-218.2421875,34.4609375
13,-0.078369140625,0.07958984375,0.578857421875,132.3671875,27.4453125,6.453125
14,0.505859375,-0.042236328125,0.400390625,27.1953125,-56.375,-19.3359375
15,0.46435546875,-0.076416015625,0.89501953125,-7.515625,-30.5234375,0.1875
